交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W48,4,95.0,95.1,91.0,91.5,-3.5,-3.68,4.32,0.28,0.07,0.26,0.07,0,0,0,0,0.1,,,,,
24W47,5,100.0,100.0,91.0,95.0,-5.5,-5.47,8.96,0.95,0.19,0.91,0.18,0,0,0,0,0.09,,,,,
24W46,1,105.5,109.5,100.5,100.5,28.5,39.6,12.5,1.13,1.13,1.17,1.17,0,0,0,0,0.08,,,,,
