交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
23W21,5,24.55,28.4,24.4,27.65,3.1,12.6,16.3,0.79,0.16,0.21,0.04,,,,,0.0,,,,,
23W20,5,23.75,25.1,23.2,24.55,0.8,3.37,8.0,0.78,0.16,0.19,0.04,,,,,0.0,,,,,
23W19,5,20.65,25.15,20.3,23.75,3.1,15.0,23.5,0.98,0.2,0.22,0.04,,,,,0.0,,,,,
23W18,4,21.3,22.2,20.0,20.65,-0.65,-3.05,10.3,0.59,0.15,0.12,0.03,,,,,0.0,,,,,
23W17,5,19.2,21.3,16.5,21.3,2.1,10.9,25.0,1.3,0.26,0.25,0.05,,,,,0.0,,,,,
23W16,5,20.1,20.45,19.2,19.2,-0.9,-4.48,6.22,0.79,0.16,0.15,0.03,,,,,0.0,,,,,
23W15,5,18.15,27.05,17.75,20.1,1.95,10.7,51.2,3.21,0.64,0.72,0.14,,,,,0.0,,,,,
23W14,2,16.0,18.75,16.0,18.15,2.15,13.4,17.2,0.37,0.19,0.06,0.03,,,,,0.0,,,,,
23W13,5,14.9,16.1,14.8,16.0,1.1,7.38,8.72,0.55,0.11,0.09,0.02,,,,,0.0,,,,,
23W12,5,15.5,15.9,14.7,14.9,-0.6,-3.87,7.74,0.31,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,,,,,
23W11,5,13.55,16.1,13.45,15.5,1.95,14.4,19.6,1.23,0.25,0.18,0.04,,,,,0.0,,,,,
23W10,5,13.55,13.7,13.4,13.55,0.0,0.0,2.21,0.31,0.06,0.04,0.01,,,,,0.0,,,,,
23W09,3,13.7,13.75,13.5,13.55,-0.15,-1.09,1.82,0.18,0.06,0.02,0.01,,,,,0.0,,,,,
23W08,5,12.2,14.0,12.1,13.7,1.5,12.3,15.6,1.04,0.21,0.14,0.03,,,,,0.0,,,,,
23W07,5,12.1,12.4,11.95,12.2,0.1,0.83,3.72,0.11,0.02,0.01,0.0,,,,,0.0,,,,,
23W06,5,12.05,12.45,11.95,12.1,0.05,0.41,4.15,0.19,0.04,0.02,0.0,,,,,0.0,,,,,
23W05,5,11.75,12.15,11.7,12.05,0.3,2.55,3.83,0.44,0.09,0.05,0.01,,,,,0.0,,,,,
23W03,2,11.8,11.8,11.75,11.75,-0.05,-0.42,0.42,0.02,0.01,0.0,0.0,,,,,0.0,,,,,
23W02,5,11.8,11.8,11.4,11.8,0.0,0.0,3.39,0.03,0.01,0.0,0.0,,,,,0.0,,,,,
23W01,4,11.6,11.8,11.35,11.8,0.2,1.72,3.88,0.03,0.01,0.0,0.0,,,,,0.0,,,,,
22W53,5,11.7,11.85,11.05,11.6,-0.1,-0.85,6.84,0.11,0.02,0.01,0.0,,,,,0.0,,,,,
22W52,5,12.0,12.0,11.45,11.7,-0.3,-2.5,4.58,0.21,0.04,0.02,0.0,,,,,0.0,,,,,
22W51,5,11.7,12.05,11.6,12.0,0.3,2.56,3.85,0.2,0.04,0.02,0.0,,,,,0.0,,,,,
22W50,5,11.65,11.85,11.5,11.7,0.05,0.43,3.0,0.2,0.04,0.02,0.0,,,,,0.0,,,,,
22W49,5,11.6,12.25,11.3,11.65,0.05,0.43,8.19,0.16,0.03,0.02,0.0,,,,,0.0,,,,,
22W48,5,11.5,11.6,11.15,11.6,0.1,0.87,3.91,0.06,0.01,0.01,0.0,,,,,0.0,,,,,
22W47,5,11.05,11.55,11.1,11.5,0.45,4.07,4.07,0.12,0.02,0.01,0.0,,,,,0.0,,,,,
22W46,5,10.95,11.1,10.6,11.05,0.1,0.91,4.57,0.06,0.01,0.01,0.0,,,,,0.0,,,,,
22W45,5,10.85,10.95,10.55,10.95,0.1,0.92,3.69,0.02,0.0,0.0,0.0,,,,,0.0,,,,,
22W44,5,11.05,10.95,10.55,10.85,-0.2,-1.81,3.62,0.07,0.01,0.01,0.0,,,,,0.0,,,,,
22W43,5,11.1,11.1,10.65,11.05,-0.05,-0.45,4.05,0.06,0.01,0.01,0.0,,,,,0.0,,,,,
22W42,4,11.1,11.1,11.1,11.1,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,,
22W41,5,10.8,11.15,10.75,11.1,0.3,2.78,3.7,0.03,0.01,0.0,0.0,,,,,0.0,,,,,
22W40,5,10.95,10.95,10.65,10.8,-0.15,-1.37,2.74,0.05,0.01,0.01,0.0,,,,,0.0,,,,,
22W39,5,11.6,11.45,10.95,10.95,-0.65,-5.6,4.31,0.07,0.01,0.01,0.0,,,,,0.0,,,,,
22W38,5,11.55,11.75,11.25,11.6,0.05,0.43,4.33,0.19,0.04,0.02,0.0,,,,,0.0,,,,,
22W37,4,11.25,11.6,11.05,11.55,0.3,2.67,4.89,0.06,0.01,0.01,0.0,,,,,0.0,,,,,
22W36,5,11.3,11.6,11.05,11.25,-0.05,-0.44,4.87,0.1,0.02,0.01,0.0,,,,,0.0,,,,,
22W35,5,11.5,11.75,11.25,11.3,-0.2,-1.74,4.35,0.13,0.03,0.01,0.0,,,,,0.0,,,,,
22W34,5,11.0,12.05,10.85,11.5,0.5,4.55,10.9,0.21,0.04,0.02,0.0,,,,,0.0,,,,,
22W33,5,10.6,11.25,10.4,11.0,0.4,3.77,8.02,0.18,0.04,0.02,0.0,,,,,0.0,,,,,
22W32,5,10.45,10.8,10.2,10.6,0.15,1.44,5.74,0.1,0.02,0.01,0.0,,,,,0.0,,,,,
22W31,5,10.5,10.8,10.4,10.45,-0.05,-0.48,3.81,0.08,0.02,0.01,0.0,,,,,0.0,,,,,
22W30,5,10.5,10.8,10.35,10.5,0.0,0.0,4.29,0.05,0.01,0.01,0.0,,,,,0.0,,,,,
22W29,5,11.05,10.95,10.3,10.5,-0.55,-4.98,5.88,0.09,0.02,0.01,0.0,,,,,0.0,,,,,
22W28,5,10.85,11.25,10.7,11.05,0.2,1.84,5.07,0.13,0.03,0.01,0.0,,,,,0.0,,,,,
22W27,5,11.0,11.45,10.85,10.85,-0.15,-1.36,5.45,0.15,0.03,0.02,0.0,,,,,0.0,,,,,
22W26,5,11.45,11.45,10.9,11.0,-0.45,-3.93,4.8,0.12,0.02,0.01,0.0,,,,,0.0,,,,,
22W25,5,11.75,11.65,11.2,11.45,-0.3,-2.55,3.83,0.07,0.01,0.01,0.0,,,,,0.0,,,,,
22W24,5,11.2,12.3,11.4,11.75,0.55,4.91,8.04,0.12,0.02,0.01,0.0,,,,,0.0,,,,,
22W23,4,11.25,11.4,11.2,11.2,-0.05,-0.44,1.78,0.01,0.0,0.0,0.0,,,,,0.0,,,,,
22W22,5,11.5,11.3,11.2,11.25,-0.25,-2.17,0.87,0.08,0.02,0.01,0.0,,,,,0.0,,,,,
22W21,5,11.55,11.6,11.25,11.5,-0.05,-0.43,3.03,0.03,0.01,0.0,0.0,,,,,0.0,,,,,
22W20,5,11.6,11.6,11.3,11.55,-0.05,-0.43,2.59,0.01,0.0,0.0,0.0,,,,,0.0,,,,,
22W19,4,11.6,11.6,11.6,11.6,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,,,0.0,,,,,
22W18,5,11.9,11.65,11.25,11.6,-0.3,-2.52,3.36,0.05,0.01,0.01,0.0,,,,,0.0,,,,,
22W17,5,12.4,12.4,11.55,11.9,-0.5,-4.03,6.85,0.13,0.03,0.02,0.0,,,,,3.68,,,,,
22W16,5,12.7,12.45,11.45,12.4,-0.3,-2.36,7.87,0.27,0.05,0.03,0.01,,,,,3.68,,,,,
22W15,3,12.65,12.7,12.2,12.7,0.05,0.4,3.95,0.03,0.01,0.0,0.0,,,,,3.68,,,,,
22W14,5,12.55,12.7,12.25,12.65,0.1,0.8,3.59,0.03,0.01,0.0,0.0,,,,,3.68,,,,,
22W13,5,12.3,12.55,12.2,12.55,0.25,2.03,2.85,0.04,0.01,0.0,0.0,,,,,3.68,,,,,
22W12,5,12.6,12.6,12.0,12.3,-0.3,-2.38,4.76,0.06,0.01,0.01,0.0,,,,,3.68,,,,,
22W11,5,12.7,12.6,11.85,12.6,-0.1,-0.79,5.91,0.09,0.02,0.01,0.0,,,,,3.68,,,,,
22W10,4,12.9,12.95,12.7,12.7,-0.2,-1.55,1.94,0.11,0.03,0.01,0.0,,,,,3.68,,,,,
22W09,5,13.45,13.45,12.9,12.9,-0.55,-4.09,4.09,0.04,0.01,0.0,0.0,,,,,3.68,,,,,
