交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W48,5,105.5,110.5,102.5,103.5,-1.5,-1.43,7.62,0.3,0.06,0.32,0.06,0.0,0,0,0.0,0.32,,,,,
24W47,5,102.0,114.0,98.7,105.0,1.5,1.45,14.8,0.65,0.13,0.7,0.14,0.0,0,0,0.0,0.3,,,,,
24W46,5,110.0,114.5,102.5,103.5,-6.5,-5.91,10.9,0.46,0.09,0.49,0.1,-0.01,0,0,-0.01,0.32,,,,,
24W45,5,125.0,129.0,110.0,110.0,-18.0,-14.1,14.8,1.27,0.25,1.53,0.31,-0.02,0,0,-0.02,0.4,,,,,
24W44,4,133.5,136.0,119.0,128.0,-11.5,-8.24,12.2,1.82,0.46,2.33,0.58,0.03,0,0,0.03,0.49,,,,,
24W43,3,115.0,156.0,108.5,139.5,80.5,136.0,80.5,3.6,1.2,4.74,1.58,0.02,0,0,0.02,0.33,,,,,
