交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,2,593,594,584,587,-6,-1.01,1.69,0.07,0.03,0.41,0.2,,,,,65.8,,,,,
24W48,5,598,600,582,593,-5,-0.84,3.01,0.22,0.04,1.28,0.26,0.0,0.0,0.0,0.0,65.8,,,,,
24W47,5,639,639,573,598,-41,-6.42,10.3,0.32,0.06,1.91,0.38,0.0,0.0,0.0,0.0,65.8,,,,,
24W46,5,672,673,620,639,-33,-4.91,7.89,0.43,0.09,2.79,0.56,0.0,0.0,0.0,0.0,65.8,,,,,
24W45,5,655,688,610,672,17,2.6,11.9,0.41,0.08,2.62,0.52,0.0,0.0,0.0,0.0,65.8,,,,,
24W44,4,634,657,614,655,21,3.31,6.78,0.29,0.07,1.87,0.47,,,,,65.8,,,,,
24W43,5,597,676,600,634,37,6.2,12.7,0.56,0.11,3.57,0.71,0.0,0.0,0.0,0.0,65.8,,,,,
24W42,5,592,606,579,597,5,0.84,4.56,0.24,0.05,1.42,0.28,0.0,0.0,0.0,0.0,65.8,,,,,
24W41,4,552,595,548,592,40,7.25,8.51,0.13,0.03,0.73,0.18,0.0,0.0,0.0,0.0,65.8,,,,,
24W40,3,552,555,550,552,0,0.0,0.91,0.01,0.0,0.06,0.02,0.0,0.0,0.0,0.0,65.8,,,,,
