交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,2,141.0,141.0,136.0,141.0,0.0,0.0,3.55,0.04,0.02,0.05,0.03,,,,,22.5,,,,,
24W48,5,148.5,148.0,140.0,141.0,-7.5,-5.05,5.39,0.06,0.01,0.08,0.02,,,,,22.5,,,,,
24W47,5,152.5,152.5,142.0,148.5,-4.0,-2.62,6.89,0.06,0.01,0.08,0.02,0.0,0.0,0.0,0.0,22.5,,,,,
24W46,5,163.0,158.5,148.0,152.5,-10.5,-6.44,6.44,0.06,0.01,0.09,0.02,0.0,0.0,0.0,0.0,22.5,,,,,
24W45,5,157.0,163.0,149.5,163.0,6.0,3.82,8.6,0.04,0.01,0.07,0.01,0.0,0.0,0.0,0.0,22.5,,,,,
24W44,4,150.0,167.5,148.0,157.0,7.0,4.67,13.0,0.13,0.03,0.21,0.05,0.0,0.0,0.0,0.0,22.5,,,,,
24W43,5,135.0,153.0,132.5,150.0,15.0,11.1,15.2,0.06,0.01,0.09,0.02,0.0,0.0,0.0,0.0,22.5,,,,,
24W42,5,138.0,139.5,135.0,135.0,-3.0,-2.17,3.26,0.03,0.01,0.04,0.01,,,,,22.5,,,,,
24W41,4,145.0,145.0,138.0,138.0,-7.0,-4.83,4.83,0.03,0.01,0.04,0.01,,,,,22.5,,,,,
24W40,3,147.0,145.0,144.5,145.0,-2.0,-1.36,0.34,0.02,0.01,0.02,0.01,,,,,22.5,,,,,
