交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W48,5,172.0,190.0,174.5,177.0,5.0,2.91,9.01,0.19,0.04,0.34,0.07,-0.01,0.0,0.0,-0.01,0.56,,,,,
24W47,5,181.5,181.5,169.0,172.0,-9.5,-5.23,6.89,0.25,0.05,0.43,0.09,0.0,0.0,0.0,0.0,0.59,,,,,
24W46,5,190.0,191.0,179.0,181.5,-8.5,-4.47,6.32,0.22,0.04,0.42,0.08,0.0,0.0,0.0,0.0,0.58,,,,,
24W45,5,190.5,203.0,186.5,190.0,-0.5,-0.26,8.66,0.23,0.05,0.45,0.09,0.0,0.0,0.0,0.0,0.59,,,,,
24W44,4,187.5,192.0,184.0,190.5,3.0,1.6,4.27,0.16,0.04,0.3,0.07,-0.01,0.0,0.0,-0.01,0.61,,,,,
24W43,5,189.5,192.5,181.0,187.5,-2.0,-1.06,6.07,0.12,0.02,0.23,0.05,0.0,0.0,0.0,0.0,0.63,,,,,
24W42,5,189.0,194.0,185.0,189.5,0.5,0.26,4.76,0.12,0.02,0.22,0.04,-0.02,0.0,0.0,-0.02,0.61,,,,,
24W41,4,193.5,193.5,187.0,189.0,-4.5,-2.33,3.36,0.08,0.02,0.16,0.04,0.0,0.0,0.0,0.0,0.7,,,,,
24W40,3,199.5,199.5,181.0,193.5,-6.0,-3.01,9.27,0.29,0.1,0.55,0.18,0.0,0.0,0.0,0.0,0.7,,,,,
24W39,5,210.0,215.5,198.5,199.5,-10.5,-5.0,8.1,0.47,0.09,0.98,0.2,,,,,0.7,,,,,
24W38,4,204.5,218.0,203.5,210.0,5.5,2.69,7.09,0.26,0.06,0.53,0.13,0.0,0.0,0.0,0.0,0.7,,,,,
24W37,5,190.5,210.5,180.5,204.5,14.0,7.35,15.7,0.44,0.09,0.86,0.17,0.0,0.0,0.0,0.0,0.71,,,,,
24W36,5,181.5,205.0,180.0,190.5,9.0,4.96,13.8,0.3,0.06,0.57,0.11,-0.01,0.0,0.0,-0.01,0.71,,,,,
24W35,5,175.0,184.5,170.0,181.5,6.5,3.71,8.29,0.14,0.03,0.25,0.05,0.0,0.0,0.0,0.0,0.77,,,,,
24W34,5,181.5,182.5,172.0,175.0,-6.5,-3.58,5.79,0.12,0.02,0.21,0.04,0.0,0.0,0.0,0.0,0.75,,,,,
24W33,5,171.5,184.0,168.5,181.5,10.0,5.83,9.04,0.18,0.04,0.32,0.06,0.01,0.0,0.0,0.01,0.75,,,,,
24W32,5,159.0,178.5,110.5,171.5,12.5,7.86,42.8,0.76,0.15,1.13,0.23,0.02,0.0,0.0,0.02,0.69,,,,,
24W31,5,233.0,235.0,158.0,159.0,-74.0,-31.8,33.0,0.85,0.17,1.62,0.32,0.01,0.0,0.0,0.01,0.63,,,,,
24W30,3,223.0,240.5,218.0,233.0,10.0,4.48,10.1,0.37,0.12,0.84,0.28,0.02,0.0,0.0,0.02,0.6,,,,,
24W29,5,195.5,233.0,196.0,223.0,27.5,14.1,18.9,0.99,0.2,2.15,0.43,0.01,0.0,0.0,0.01,0.54,,,,,
24W28,5,197.5,199.0,190.5,195.5,-2.0,-1.01,4.3,0.28,0.06,0.55,0.11,0.02,0.0,0.0,0.02,0.5,,,,,
24W27,5,200.5,201.5,190.0,197.5,-3.0,-1.5,5.74,0.29,0.06,0.57,0.11,0.0,0.0,0.0,0.0,0.43,,,,,
24W26,5,185.5,203.0,181.0,200.5,15.0,8.09,11.9,0.41,0.08,0.81,0.16,0.01,0.0,0.0,0.01,0.45,,,,,
24W25,5,165.0,190.0,162.5,185.5,20.5,12.4,16.7,0.72,0.14,1.27,0.25,0.0,0.0,0.0,0.0,0.41,,,,,
24W24,4,166.0,169.0,162.0,165.0,-1.0,-0.6,4.22,0.18,0.05,0.3,0.08,-0.01,0.0,0.0,-0.01,0.39,,,,,
24W23,5,165.0,171.0,162.5,166.0,1.0,0.61,5.15,0.18,0.04,0.29,0.06,0.0,0.0,0.0,0.0,0.42,,,,,
24W22,5,161.0,171.0,161.0,165.0,4.0,2.48,6.21,0.26,0.05,0.44,0.09,0.0,0.0,0.0,0.0,0.44,,,,,
