交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,1,27.5,27.65,27.45,27.6,0.1,0.36,0.73,5.97,5.97,1.65,1.65,1.31,0,0.26,1.56,0.24,,,,,
24W48,5,27.8,28.0,27.0,27.5,-0.25,-0.9,3.6,27.5,5.49,7.55,1.51,0.61,0,-0.02,0.6,0.19,,,,,
24W47,5,28.3,28.3,27.65,27.75,-0.55,-1.94,2.3,33.8,6.76,9.44,1.89,0.91,0,0.04,0.95,0.17,,,,,
24W46,5,27.8,28.7,27.35,28.3,0.6,2.17,4.87,64.6,12.9,18.1,3.62,2.33,0,0.0,2.33,0.14,,,,,
24W45,5,28.15,28.3,26.9,27.7,-0.45,-1.6,4.97,69.4,13.9,19.2,3.84,0.36,0,-0.01,0.35,0.07,,,,,
24W44,4,30.75,30.8,27.8,28.15,-2.6,-8.46,9.76,165.0,41.3,48.0,12.0,-1.83,0,-0.01,-1.84,0.05,,,,,
24W43,1,25.95,32.0,25.65,30.75,10.75,53.8,31.8,253.0,253.0,73.5,73.5,-9.58,0,0.01,-9.57,0.11,,,,,
