交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),成交張數,成交張數,成交金額,成交金額,法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),法人買賣超(千張),外資 持股 (%),融資(千張),融資(千張),融券(千張),融券(千張),券資 比 (%)
交易 週別,交易 日數,開盤,最高,最低,收盤,漲跌,漲跌 (%),振幅 (%),千張,日均,億元,日均,外資,投信,自營,合計,外資 持股 (%),增減,餘額,增減,餘額,券資 比 (%)
24W49,2,269.0,278.0,265.0,271.0,2.0,0.74,4.83,0.14,0.07,0.37,0.18,,,,,0.92,,,,,
24W48,5,270.0,272.5,260.5,269.0,-1.0,-0.37,4.44,0.35,0.07,0.94,0.19,,,,,0.92,,,,,
24W47,5,287.0,290.0,269.0,270.0,-17.0,-5.92,7.32,0.51,0.1,1.4,0.28,,,,,0.92,,,,,
24W46,5,295.0,295.0,283.0,287.0,-8.0,-2.71,4.07,0.15,0.03,0.43,0.09,,,,,0.93,,,,,
24W45,5,288.0,296.5,287.0,295.0,7.0,2.43,3.3,0.22,0.04,0.65,0.13,,,,,0.93,,,,,
24W44,4,293.5,297.0,280.0,288.0,-5.5,-1.87,5.79,0.28,0.07,0.82,0.2,,,,,0.93,,,,,
24W43,5,272.5,298.0,275.0,293.5,21.0,7.71,8.44,0.22,0.04,0.62,0.12,,,,,0.93,,,,,
24W42,5,278.5,278.5,270.5,272.5,-6.0,-2.15,2.87,0.17,0.03,0.46,0.09,,,,,0.93,,,,,
24W41,4,282.0,282.5,277.0,278.5,-3.5,-1.24,1.95,0.06,0.02,0.18,0.04,,,,,0.93,,,,,
24W40,3,284.0,283.0,279.0,282.0,-2.0,-0.7,1.41,0.06,0.02,0.17,0.06,,,,,0.93,,,,,
24W39,5,280.0,288.0,279.0,284.0,4.0,1.43,3.21,0.14,0.03,0.38,0.08,,,,,0.93,,,,,
24W38,4,278.0,284.0,276.0,280.0,2.0,0.72,2.88,0.11,0.03,0.32,0.08,,,,,0.93,,,,,
24W37,5,280.0,280.0,277.0,278.0,-2.0,-0.71,1.07,0.06,0.01,0.18,0.04,,,,,0.93,,,,,
24W36,5,290.0,291.0,275.0,280.0,-10.0,-3.45,5.52,0.21,0.04,0.59,0.12,,,,,0.93,,,,,
24W35,5,269.5,291.5,268.5,290.0,20.5,7.61,8.53,0.24,0.05,0.66,0.13,,,,,0.93,,,,,
24W34,5,270.0,271.0,268.0,269.5,-0.5,-0.19,1.11,0.05,0.01,0.15,0.03,,,,,0.93,,,,,
24W33,5,270.0,275.0,268.0,270.0,0.0,0.0,2.59,0.09,0.02,0.25,0.05,,,,,0.93,,,,,
24W32,5,271.0,271.0,247.0,270.0,-1.0,-0.37,8.86,0.25,0.05,0.65,0.13,0.0,0.0,0.0,0.0,0.93,,,,,
24W31,5,277.0,278.0,268.5,271.0,-6.0,-2.17,3.43,0.15,0.03,0.42,0.08,0.0,0.0,0.0,0.0,0.94,,,,,
24W30,3,276.0,278.5,274.5,277.0,1.0,0.36,1.45,0.07,0.02,0.2,0.07,,,,,0.94,,,,,
24W29,5,280.0,280.0,274.5,276.0,-4.0,-1.43,1.96,0.13,0.03,0.35,0.07,0.0,0.0,0.0,0.0,0.94,,,,,
24W28,5,281.0,286.5,278.5,280.0,-1.0,-0.36,2.85,0.28,0.06,0.8,0.16,0.0,0.0,0.0,0.0,0.94,,,,,
24W27,5,285.0,285.0,280.0,281.0,-4.0,-1.4,1.75,0.16,0.03,0.46,0.09,,,,,0.93,,,,,
24W26,5,301.0,301.0,283.0,285.0,-16.0,-5.32,5.98,0.26,0.05,0.74,0.15,0.0,0.0,0.0,0.0,0.93,,,,,
24W25,5,300.0,303.0,296.5,301.0,1.0,0.33,2.17,0.29,0.06,0.88,0.18,0.04,0.0,0.0,0.04,0.92,,,,,
24W24,4,284.5,303.0,284.5,300.0,15.5,5.45,6.5,0.39,0.1,1.14,0.28,0.01,0.0,0.0,0.01,0.8,,,,,
24W23,5,284.0,288.0,281.5,284.5,0.5,0.18,2.29,0.13,0.03,0.38,0.08,,,,,0.78,,,,,
24W22,5,287.5,288.0,281.5,284.0,-3.5,-1.22,2.26,0.16,0.03,0.45,0.09,,,,,0.78,,,,,
24W21,5,274.0,293.0,271.0,287.5,13.5,4.93,8.03,0.21,0.04,0.58,0.12,0.0,0.0,0.0,0.0,0.78,,,,,
24W20,5,273.5,274.5,270.0,274.0,0.5,0.18,1.65,0.05,0.01,0.12,0.02,0.0,0.0,-0.01,-0.01,0.78,,,,,
24W19,5,270.0,276.0,270.0,273.5,3.5,1.3,2.22,0.06,0.01,0.17,0.03,,,,,0.78,,,,,
24W18,4,273.0,276.5,269.0,270.0,-3.0,-1.1,2.75,0.06,0.01,0.16,0.04,,,,,0.78,,,,,
24W17,5,277.0,281.0,270.0,273.0,-4.0,-1.44,3.97,0.16,0.03,0.44,0.09,,,,,0.78,,,,,
24W16,5,288.0,290.5,275.0,277.0,-11.0,-3.82,5.38,0.22,0.04,0.61,0.12,,,,,0.78,,,,,
24W15,5,280.5,291.5,276.0,288.0,7.5,2.67,5.53,0.11,0.02,0.3,0.06,,,,,0.78,,,,,
24W14,3,277.0,281.0,268.5,280.5,3.5,1.26,4.51,0.16,0.05,0.45,0.15,,,,,0.78,,,,,
24W13,5,291.0,291.0,275.0,277.0,-14.0,-4.81,5.5,0.3,0.06,0.84,0.17,,,,,0.78,,,,,
24W12,5,285.0,299.0,285.5,291.0,6.0,2.11,4.74,0.28,0.06,0.83,0.17,0.0,0.0,0.03,0.03,0.78,,,,,
24W11,5,287.5,290.0,282.5,285.0,-2.5,-0.87,2.61,0.12,0.02,0.35,0.07,0.0,0.0,0.0,0.0,0.78,,,,,
24W10,5,288.5,296.0,285.0,287.5,-1.0,-0.35,3.81,0.36,0.07,1.05,0.21,0.0,0.0,-0.02,-0.02,0.78,,,,,
24W09,4,289.0,292.0,285.5,288.5,-0.5,-0.17,2.25,0.17,0.04,0.49,0.12,0.0,0.0,0.0,0.0,0.78,,,,,
24W08,5,309.0,310.0,289.0,289.0,-20.0,-6.47,6.8,0.53,0.11,1.57,0.31,0.0,0.0,0.0,0.0,0.78,,,,,
24W07,2,331.0,341.5,305.0,309.0,-22.0,-6.65,11.0,0.49,0.25,1.57,0.78,0.0,0.0,0.0,0.0,0.78,,,,,
24W06,1,328.0,332.0,315.5,331.0,3.0,0.91,5.03,0.24,0.24,0.76,0.76,0.0,0.0,0.0,0.0,0.79,,,,,
